k1     a1     p1     k2     a2     p2     k3     a3     p3     u1   u2   nll  
1.89986 1.19927 0.439589 0.0985774 1.00143 -0.338927  0.00854236 0.942336 0.487342 0.899752 0.800004 1.41311e+06 0.153466
1.89986 1.19908 0.439395 0.0985621 1.00254 -0.337826  0.00854165 0.942709 0.486939 0.89975 0.800004 1.40934e+06 0.153261
1.89985 1.19886 0.439118 0.0985468 1.00363 -0.336734  0.00854077 0.943065 0.486522 0.899747 0.800004 1.40589e+06 0.153073
1.89985 1.19868 0.438926 0.0985315 1.00473 -0.335628  0.00854005 0.943439 0.486125 0.899745 0.800004 1.40212e+06 0.152868
1.89985 1.19846 0.438644 0.0985162 1.00582 -0.334534  0.00853914 0.943794 0.485713 0.899742 0.800004 1.39836e+06 0.152663
1.89985 1.19826 0.438432 0.0985009 1.00692 -0.333428  0.00853836 0.944163 0.485318 0.89974 0.800003 1.39459e+06 0.152457
1.89985 1.19805 0.438162 0.0984856 1.00801 -0.332328  0.00853746 0.944521 0.484913 0.899737 0.800003 1.39114e+06 0.152268
1.89985 1.19786 0.437956 0.0984703 1.00911 -0.331218  0.00853667 0.944891 0.484524 0.899735 0.800003 1.38737e+06 0.152062
1.89985 1.19764 0.437678 0.098455 1.0102 -0.330117  0.00853574 0.945246 0.484123 0.899732 0.800003 1.38361e+06 0.151856
1.89985 1.19744 0.437456 0.0984396 1.0113 -0.329006  0.0085349 0.945612 0.483736 0.89973 0.800003 1.37984e+06 0.151649
1.89984 1.19722 0.437187 0.0984243 1.01239 -0.3279  0.00853397 0.945968 0.483342 0.899727 0.800003 1.37638e+06 0.151459
1.89984 1.19703 0.436972 0.098409 1.01348 -0.326785  0.00853313 0.946335 0.48296 0.899725 0.800003 1.37261e+06 0.151251
1.89984 1.19681 0.436695 0.0983937 1.01457 -0.325677  0.00853217 0.946689 0.482568 0.899722 0.800003 1.36885e+06 0.151044
1.89984 1.19661 0.436464 0.0983783 1.01566 -0.324561  0.00853129 0.947051 0.482188 0.89972 0.800002 1.36509e+06 0.150836
1.89984 1.1964 0.436195 0.098363 1.01675 -0.323448  0.00853033 0.947406 0.481803 0.899717 0.800002 1.36162e+06 0.150644
1.89984 1.1962 0.435974 0.0983477 1.01784 -0.322328  0.00852946 0.947769 0.481428 0.899715 0.800002 1.35785e+06 0.150436
1.89984 1.19598 0.435695 0.0983323 1.01893 -0.321214  0.00852846 0.94812 0.481044 0.899712 0.800002 1.35409e+06 0.150227
1.89984 1.19578 0.435458 0.098317 1.02002 -0.320092  0.00852755 0.948479 0.48067 0.89971 0.800002 1.35032e+06 0.150018
1.89983 1.19556 0.435188 0.0983016 1.0211 -0.318974  0.00852656 0.94883 0.480292 0.899707 0.800002 1.34686e+06 0.149825
1.89983 1.19537 0.434961 0.0982863 1.0222 -0.317848  0.00852565 0.949189 0.479924 0.899705 0.800002 1.34309e+06 0.149615
1.89983 1.19514 0.43468 0.0982709 1.02328 -0.316728  0.00852463 0.949536 0.479546 0.899702 0.800002 1.33932e+06 0.149406
1.89983 1.19494 0.434438 0.0982556 1.02437 -0.315601  0.00852368 0.949891 0.479178 0.8997 0.800002 1.33585e+06 0.149212
1.89983 1.19473 0.434184 0.0982402 1.02545 -0.314474  0.0085227 0.950242 0.478809 0.899697 0.800002 1.33208e+06 0.149001
1.89983 1.19452 0.433919 0.0982249 1.02654 -0.313347  0.00852169 0.95059 0.47844 0.899695 0.800001 1.32831e+06 0.14879
1.89983 1.19431 0.433661 0.0982095 1.02762 -0.312218  0.0085207 0.950938 0.478073 0.899692 0.800001 1.32454e+06 0.148579
1.89983 1.1941 0.433396 0.0981942 1.0287 -0.311088  0.00851968 0.951285 0.477707 0.89969 0.800001 1.32107e+06 0.148384
1.89982 1.19389 0.433154 0.0981788 1.02979 -0.309954  0.0085187 0.951635 0.477347 0.899687 0.800001 1.3173e+06 0.148172
1.89982 1.19367 0.432874 0.0981635 1.03087 -0.308823  0.00851765 0.951976 0.47698 0.899685 0.800001 1.31353e+06 0.14796
1.89982 1.19346 0.432621 0.0981481 1.03195 -0.307687  0.00851664 0.952321 0.47662 0.899682 0.800001 1.30976e+06 0.147747
1.89982 1.19325 0.432347 0.0981328 1.03303 -0.306552  0.00851559 0.952662 0.476258 0.89968 0.800001 1.30628e+06 0.147551
1.89982 1.19305 0.432105 0.0981174 1.03412 -0.305412  0.00851459 0.953008 0.475903 0.899677 0.800001 1.3025e+06 0.147338
